experiment,fold,epoch,train_loss,val_loss,macro_f1,micro_f1,mAP,threshold
Plain + GAP,1,1,1.2690466305814372,1.2982663520868274,0.1503804314014288,0.15291902071563088,0.16802622414982704,0.3
Plain + GAP,1,2,1.2252455393907584,1.2549065956171008,0.17734521699861472,0.17254528122020973,0.19633473449308603,0.39999999999999997
Plain + GAP,1,3,1.2097121722494102,1.2264688947926397,0.17474267608551391,0.17757009345794392,0.19205857470369428,0.44999999999999996
Plain + GAP,1,4,1.193381455426659,1.2494050177974978,0.2018738441756599,0.17654476670870115,0.21026969587722724,0.44999999999999996
Plain + GAP,1,5,1.1783183397273982,1.2459370174269746,0.18541752411577314,0.18256130790190736,0.21975470759849877,0.44999999999999996
Plain + GAP,1,6,1.1731622412339369,1.2691376658453457,0.22681157859027834,0.20036429872495445,0.2229533761121136,0.49999999999999994
Plain + GAP,1,7,1.161141438345223,1.235175649325053,0.22407868246204454,0.19953596287703015,0.21821642150069887,0.49999999999999994
Plain + GAP,1,8,1.1510707628531534,1.2082505433455757,0.2263277109886956,0.2214765100671141,0.2470200630049057,0.49999999999999994
Plain + GAP,1,9,1.144233226558984,1.225085040797358,0.23124963498449777,0.2650231124807396,0.2262095961787939,0.5499999999999999
Plain + GAP,1,10,1.1426112389086809,1.2400343038033748,0.2098144347907908,0.21720243266724587,0.23229727594558977,0.49999999999999994
Plain + GAP,1,11,1.145375149497569,1.2480262448822244,0.21949256770247536,0.20297029702970298,0.22215432329295737,0.49999999999999994
Plain + GAP,1,12,1.144098084263897,1.2595834991206294,0.22202464680659326,0.1891348088531187,0.23000163218344818,0.44999999999999996
Plain + GAP,1,13,1.1300033511142695,1.2012570267138274,0.2362282999323312,0.23725671918443003,0.2482808011488027,0.49999999999999994
Plain + GAP,1,14,1.127129455950308,1.2079402052837869,0.22989561366060204,0.20774938169826876,0.23512424696653506,0.49999999999999994
Plain + GAP,1,15,1.128256161356233,1.6554555633793706,0.1733051518659935,0.16331821127673363,0.22172244913261616,0.35
Plain + GAP,1,16,1.12002046577266,1.2469343568967737,0.22729452625096544,0.23215984776403426,0.24241760088934855,0.49999999999999994
Plain + GAP,1,17,1.1232504234505047,1.229018905888433,0.23939663894196186,0.24009603841536614,0.24737180216410007,0.5499999999999999
Plain + GAP,1,18,1.1234726508458455,1.2118546029795771,0.21135975034458265,0.20695807314897413,0.22841783834952756,0.49999999999999994
Plain + GAP,1,19,1.1162232948782667,1.218466371729754,0.24808158777515318,0.24795640326975477,0.24899683839085895,0.5499999999999999
Plain + GAP,1,20,1.1055237853896205,1.2551045987917029,0.21716753335396602,0.18537291817523532,0.22495068124751227,0.44999999999999996
Plain + GAP,1,21,1.1018562849970681,1.1892540126607039,0.25161358905746617,0.2764227642276423,0.2635999250167977,0.5499999999999999
Plain + GAP,1,22,1.1068678840261992,1.2018498061359792,0.24417689943164206,0.27079303675048355,0.2374811146212831,0.5999999999999999
Plain + GAP,1,23,1.0863676105909226,1.1933751590010049,0.2413664726027006,0.23819301848049282,0.2582086293409556,0.49999999999999994
Plain + GAP,1,24,1.1111517707072538,1.2022482640501382,0.23976788576575359,0.2496493688639551,0.2546397385309074,0.5499999999999999
Plain + GAP,1,25,1.119726650918985,1.22544094617816,0.24601779112506308,0.21354581673306772,0.24312512558980556,0.49999999999999994
Plain + GAP,1,26,1.0933148196486175,1.1868855313978333,0.25212245672212086,0.24719101123595505,0.25569233776257366,0.5499999999999999
Plain + GAP,1,27,1.0999323164396164,1.197204615758813,0.23809067646681248,0.23495145631067962,0.2527098272238472,0.49999999999999994
Plain + GAP,1,28,1.0883478862123195,1.1870149425838306,0.24264858756851884,0.23747680890538034,0.24577612347223818,0.49999999999999994
Plain + GAP,1,29,1.0944090777624718,1.2698134114776833,0.23431647639734543,0.1898876404494382,0.25581223289173816,0.35
Plain + GAP,1,30,1.080003949136682,1.202570562777312,0.24623246422854994,0.2819047619047619,0.252375535606748,0.5999999999999999
Plain + GAP,1,31,1.086158098201717,1.1773089446883271,0.24915176904741854,0.2547288776796974,0.24238759635599802,0.5499999999999999
Plain + GAP,1,32,1.0769931362409193,1.2290892480076223,0.2488685451728282,0.25132275132275134,0.27398032840752823,0.5499999999999999
Plain + GAP,1,33,1.0845885678501512,1.2059787891913152,0.23486773119534277,0.1951219512195122,0.25847124445544195,0.44999999999999996
Plain + GAP,1,34,1.0933423867425416,1.1881632614826811,0.24180225802038238,0.2387218045112782,0.26416555841036515,0.49999999999999994
Plain + GAP,1,35,1.0780458663113563,1.3396025429601255,0.21486442286114651,0.18293431553100062,0.24292052619939153,0.35
Plain + GAP,1,36,1.0818364390041442,1.2504382807275523,0.23991396536206436,0.23366834170854273,0.25204648957342113,0.5499999999999999
Plain + GAP,1,37,1.0851020219113223,1.2137030121208965,0.26536446523253693,0.2909090909090909,0.2860235298446413,0.6499999999999999
Plain + GAP,1,38,1.0593874332900473,1.2100888905317888,0.22620885557029372,0.22473867595818817,0.2514751616300377,0.49999999999999994
Plain + GAP,1,39,1.066368357297067,1.286065369412519,0.22717993085453292,0.21630094043887146,0.2538949401718514,0.39999999999999997
